Title,Video ID,Duration,Views,Published At,duration_readable,duration_min
"Integral dupla sobre regiões mais gerais | Lista 2, exercício 14",KlOIv-CozEA,PT7M14S,556,2021-02-13T17:59:17Z,7:14,7.233333333333333
"Integral dupla sobre regiões mais gerais | Lista 2, exercício 13",RFr-S7Pw8is,PT14M53S,707,2021-02-13T17:53:03Z,14:53,14.883333333333333
Integrais duplas em regiões mais gerais | Exercícios resolvidos,cS4TWV7uBxY,PT55S,911,2021-02-13T12:31:32Z,0:55,0.9166666666666666
Integrais duplas sobre retângulos| Exercícios,GmjSzTtZStI,PT1M9S,1852,2021-02-13T11:48:06Z,1:09,1.15
"Integral dupla | volume entre cilindros | Lista 2, exercício 12",7uLadr2IbPc,PT11M54S,1760,2021-02-12T16:21:06Z,11:54,11.9
"Integral dupla com coordenadas polares | Lista 3, exercício 3",-z2CFrYbgXQ,PT11M43S,516,2021-02-12T16:15:09Z,11:43,11.716666666666667
"Integral dupla com coordenadas polares | Lista 3, exercício 1",Vn2DWAS6DBw,PT11M54S,623,2021-02-11T21:30:21Z,11:54,11.9
"Integral dupla em regiões gerais | Lista 2, exercício 9",te1ZQ4vcLlA,PT9M49S,954,2021-02-11T21:27:40Z,9:49,9.816666666666666
"Integral dupla sobre regiões mais gerais | Lista 2, exercício 5",dNwITVg8hZ0,PT6M33S,962,2021-02-11T21:29:07Z,6:33,6.55
"Integral dupla em retângulos | Lista 1, exercício 12",b70xAHNnhZg,PT7M28S,1466,2021-02-11T21:26:15Z,7:28,7.466666666666667
"Integral dupla em retângulos | Lista 1, exercício 5",juQFTx8L7lY,PT4M38S,1933,2021-02-11T21:25:50Z,4:38,4.633333333333334
Integral de Poisson,Q-wu-JEglSo,PT11M33S,1057,2021-02-11T10:06:47Z,11:33,11.55
Volumes de sólido | coordenadas polares | Integral dupla,-_H4Pf_5b_s,PT13M19S,1103,2021-02-10T19:28:02Z,13:19,13.316666666666666
Coordenadas polares | Revisão conceitual,mnJd5XppzZ0,PT6M51S,539,2021-02-10T18:49:02Z,6:51,6.85
Integral dupla | revisão conceitual,cKAkWY_0BW0,PT16M33S,840,2021-02-10T18:39:42Z,16:33,16.55
integral dupla coordenadas polares | integral dupla com raiz quadrada,ymhoXLYx6gA,PT12M5S,1071,2021-02-10T15:30:05Z,12:05,12.083333333333334
integral dupla coordenadas polares | exemplo 01,CN29_ffY8q8,PT14M27S,1153,2021-02-09T02:56:48Z,14:27,14.45
Coordenadas Polares | Regiões de integração em coordenadas polares,JJT83yyAtQo,PT15M24S,1559,2021-02-09T00:58:55Z,15:24,15.4
coordenadas polares  | exercícios resolvidos | coordenadas polares para cartesianas e vice-versa,8DW7YmaEf74,PT12M40S,10445,2021-02-08T23:44:02Z,12:40,12.666666666666666
Coordenadas polares | Aula 01,1doo9oTeZNA,PT19M17S,1458,2021-02-08T22:49:48Z,19:17,19.283333333333335
Integral dupla cálculo de volume | exercício resolvido,oegQfmbR980,PT15M16S,2014,2021-02-03T15:32:58Z,15:16,15.266666666666667
Integral dupla sobre regiões mais gerais | regiões não retangulares | exemplo 02,FcZ6bv-vl7c,PT5M37S,1747,2021-02-03T13:31:26Z,5:37,5.616666666666666
Integral dupla triangulo vértices | regiões mais gerais,nDuCkNCB3Cw,PT13M50S,4723,2021-02-03T12:38:32Z,13:50,13.833333333333334
Integral dupla sobre regiões mais gerais | regiões não retangulares,FXG3KbJn27c,PT13M22S,2539,2021-02-03T00:46:34Z,13:22,13.366666666666667
Integral dupla introdução,tFUG5JQApho,PT11M43S,7686,2021-02-01T20:22:14Z,11:43,11.716666666666667
Integral Dupla sobre Retângulos| Exemplo 03,xd_oA7sWV0Y,PT7M56S,2515,2021-02-01T16:28:05Z,7:56,7.933333333333334
