Title,Video ID,Duration,Views
"Volume entre cone, cilindro e plano | Coordenadas polares | Lista 3, exercício 5",_R234y1CRMQ,PT10M15S,883
"Integral dupla sobre regiões mais gerais | Lista 2, exercício 14",KlOIv-CozEA,PT7M14S,556
"Integral dupla sobre regiões mais gerais | Lista 2, exercício 13",RFr-S7Pw8is,PT14M53S,707
Integrais duplas em regiões mais gerais | Exercícios resolvidos,cS4TWV7uBxY,PT55S,911
Integrais duplas sobre retângulos| Exercícios,GmjSzTtZStI,PT1M9S,1852
"Integral dupla | volume entre cilindros | Lista 2, exercício 12",7uLadr2IbPc,PT11M54S,1760
"Integral dupla com coordenadas polares | Lista 3, exercício 3",-z2CFrYbgXQ,PT11M43S,516
"Integral dupla com coordenadas polares | Lista 3, exercício 1",Vn2DWAS6DBw,PT11M54S,623
"Integral dupla em regiões gerais | Lista 2, exercício 9",te1ZQ4vcLlA,PT9M49S,954
"Integral dupla sobre regiões mais gerais | Lista 2, exercício 5",dNwITVg8hZ0,PT6M33S,962
"Integral dupla em retângulos | Lista 1, exercício 12",b70xAHNnhZg,PT7M28S,1466
"Integral dupla em retângulos | Lista 1, exercício 5",juQFTx8L7lY,PT4M38S,1933
Integral de Poisson,Q-wu-JEglSo,PT11M33S,1057
Volumes de sólido | coordenadas polares | Integral dupla,-_H4Pf_5b_s,PT13M19S,1103
Coordenadas polares | Revisão conceitual,mnJd5XppzZ0,PT6M51S,539
Integral dupla | revisão conceitual,cKAkWY_0BW0,PT16M33S,840
integral dupla coordenadas polares | integral dupla com raiz quadrada,ymhoXLYx6gA,PT12M5S,1071
integral dupla coordenadas polares | exemplo 01,CN29_ffY8q8,PT14M27S,1153
Coordenadas Polares | Regiões de integração em coordenadas polares,JJT83yyAtQo,PT15M24S,1559
coordenadas polares  | exercícios resolvidos | coordenadas polares para cartesianas e vice-versa,8DW7YmaEf74,PT12M40S,10445
Coordenadas polares | Aula 01,1doo9oTeZNA,PT19M17S,1458
Integral dupla cálculo de volume | exercício resolvido,oegQfmbR980,PT15M16S,2014
Integral dupla sobre regiões mais gerais | regiões não retangulares | exemplo 02,FcZ6bv-vl7c,PT5M37S,1747
Integral dupla triangulo vértices | regiões mais gerais,nDuCkNCB3Cw,PT13M50S,4723
Integral dupla sobre regiões mais gerais | regiões não retangulares,FXG3KbJn27c,PT13M22S,2539
Integral dupla introdução,tFUG5JQApho,PT11M43S,7686
Integral Dupla sobre Retângulos| Exemplo 03,xd_oA7sWV0Y,PT7M56S,2515
Integral Dupla sobre Retângulos| Exemplo 02,MyQEqKCyBNg,PT12M10S,3771
Cálculo 3 | Curso Completo,NajkIpWWDtk,PT54S,10467
Redução de dimensionalidade | Análise de Componentes Principais | Interpretação,9-E2D8gTSA8,PT39M19S,1347
PCA - Análise de componente principais | Interpretação,ffSpLrAHjmE,PT24M15S,402
Matriz covariância | Machine Learning,uFAILLxdajk,PT36M6S,1922
Introdução ao Machine Learning | O que é?,I4hZD3OSw4k,PT1H30M4S,518
Construção matemática do SVM - aula 03,1DiR1ma7ebg,PT24M31S,115
SVM Núcleos - aula 02,EfP4zJpUP54,PT30M42S,132
Introdução ao Naive Bayes,PjMaer0Sui8,PT11M30S,463
Teorema do Divergente e aplicação a campo elétrico produzido por carga pontual,RjuA9hdN-3Y,PT20M26S,671
Interpretação do divergente,7OMKFeU_dD0,PT15M7S,523
Teorema do Divergente,s0rM42xufng,PT38M35S,729
Teorema do divergente: exemplos,YAgJr4_cu88,PT13M31S,1960
Teorema de Stokes | Exercício Resolvido: hiperboloide,i5ShP5qdp-Y,PT22M4S,2180
Teorema de Stokes | Exercícios resolvidos,c4qxoccjt4Y,PT16M29S,9217
